BHID,FROM,TO,CU,Length
34873,0.0,2515.0,0.0,2515.0
34873,2515.0,2517.4,0.0299999993,2.400000000000091
34873,2517.4,2518.9,0.0399999991,1.5
34873,2518.9,2524.0,0.40999999600000003,5.099999999999909
34873,2524.0,2524.9,0.23000000399999998,0.900000000000091
34873,2524.9,2535.0,0.159999996,10.099999999999909
34873,2535.0,2545.0,0.34000000399999997,10.0
34873,2545.0,2557.2,0.34000000399999997,12.199999999999818
34873,2557.2,2562.7,0.159999996,5.5
34873,2562.7,2565.0,0.200000003,2.300000000000182
34873,2565.0,2574.0,0.360000014,9.0
34873,2574.0,2580.0,0.189999998,6.0
34873,2580.0,2590.0,0.27000001100000004,10.0
34873,2590.0,2600.0,0.360000014,10.0
34873,2600.0,2605.0,0.150000006,5.0
34873,2605.0,2615.0,0.180000007,10.0
34873,2615.0,2625.0,0.330000013,10.0
34873,2625.0,2635.0,0.50999999,10.0
34873,2635.0,2644.5,0.43999999799999995,9.5
34873,2644.5,2652.0,0.180000007,7.5
34873,2652.0,2665.0,0.159999996,13.0
34873,2665.0,2675.0,0.150000006,10.0
34873,2675.0,2685.0,0.23000000399999998,10.0
34873,2685.0,2692.0,0.600000024,7.0
34873,2692.0,2697.0,0.540000021,5.0
34873,2697.0,2703.0,0.430000007,6.0
34873,2703.0,2706.5,0.09000000359999999,3.5
34873,2706.5,2715.0,0.150000006,8.5
34873,2715.0,2718.0,0.27000001100000004,3.0
34873,2718.0,2721.3,0.189999998,3.300000000000182
34873,2721.3,2723.6,0.239999995,2.299999999999727
34873,2723.6,2732.0,0.419999987,8.400000000000091
34873,2732.0,2735.9,0.23000000399999998,3.900000000000091
34873,2735.9,2745.0,0.150000006,9.099999999999909
34873,2745.0,2748.7,0.119999997,3.699999999999818
34873,2748.7,2775.0,0.0,26.300000000000182
34873,2775.0,2785.0,0.189999998,10.0
34873,2785.0,2795.0,0.119999997,10.0
34873,2795.0,2802.0,0.159999996,7.0
34873,2802.0,2809.0,0.239999995,7.0
34873,2809.0,2818.0,0.25999999,9.0
34873,2818.0,2821.7,0.27000001100000004,3.699999999999818
34873,2821.7,2830.0,0.0399999991,8.300000000000182
34873,2830.0,2954.0,0.0,124.0
B1-001,0.0,17.0,0.0,17.0
B1-001,17.0,22.0,0.370000005,5.0
B1-001,22.0,30.0,0.21999999899999997,8.0
B1-001,30.0,35.0,0.23000000399999998,5.0
B1-001,35.0,40.0,0.159999996,5.0
B1-001,40.0,45.0,0.25999999,5.0
B1-001,45.0,50.0,0.34000000399999997,5.0
B1-001,50.0,55.0,0.209999993,5.0
B1-001,55.0,60.0,0.159999996,5.0
B1-001,60.0,65.0,0.17000000199999998,5.0
B1-001,65.0,70.0,0.23000000399999998,5.0
B1-001,70.0,75.0,0.180000007,5.0
B1-001,75.0,80.0,0.310000002,5.0
B1-001,80.0,85.0,0.25999999,5.0
B1-001,85.0,90.0,0.349999994,5.0
B1-001,90.0,95.0,0.889999986,5.0
B1-001,95.0,100.0,0.200000003,5.0
B1-001,100.0,105.0,0.25999999,5.0
B1-001,105.0,110.0,0.209999993,5.0
B1-001,110.0,115.0,0.629999995,5.0
B1-001,115.0,120.0,0.74000001,5.0
B1-001,120.0,125.0,0.370000005,5.0
B1-001,125.0,130.0,0.09000000359999999,5.0
B1-001,130.0,135.0,0.310000002,5.0
B1-001,135.0,140.0,0.5299999710000001,5.0
B1-001,140.0,145.0,0.50999999,5.0
B1-001,145.0,150.0,0.9599999790000001,5.0
B1-001,150.0,155.0,0.25999999,5.0
B1-001,155.0,160.0,0.550000012,5.0
B1-001,160.0,165.0,1.02999997,5.0
B1-001,165.0,170.0,0.920000017,5.0
B1-001,170.0,175.0,1.03999996,5.0
B1-001,175.0,180.0,0.7900000209999999,5.0
B1-001,180.0,185.0,0.810000002,5.0
B1-001,185.0,190.0,0.860000014,5.0
B1-001,190.0,195.0,0.5699999929999999,5.0
B1-001,195.0,200.0,0.119999997,5.0
B1-001,200.0,220.0,0.0,20.0
B1-001,220.0,230.0,0.0199999996,10.0
B1-001,230.0,240.0,0.0,10.0
B1-001,240.0,245.0,0.0599999987,5.0
B1-001,245.0,255.0,0.0199999996,10.0
B1-001,255.0,260.0,0.0599999987,5.0
B1-001,260.0,270.0,0.0,10.0
B1-001,270.0,275.0,0.0599999987,5.0
B1-001,275.0,285.0,0.0,10.0
B1-001,285.0,290.0,0.0700000003,5.0
B1-001,290.0,300.0,0.0,10.0
B1-001,300.0,305.0,0.0799999982,5.0
B1-001,305.0,315.0,0.0,10.0
B1-001,315.0,320.0,0.0799999982,5.0
B1-001,320.0,325.0,0.0799999982,5.0
B1-001,325.0,520.0,0.0,195.0
B1-002,0.0,50.0,0.0,50.0
B1-002,50.0,55.0,0.0700000003,5.0
B1-002,55.0,70.0,0.0,15.0
B1-002,70.0,75.0,0.0700000003,5.0
B1-002,75.0,125.0,0.0,50.0
B1-002,125.0,130.0,0.0700000003,5.0
B1-002,130.0,140.0,0.0,10.0
B1-002,140.0,145.0,0.0700000003,5.0
B1-002,145.0,220.0,0.0,75.0
B1-002,220.0,225.0,0.0700000003,5.0
B1-002,225.0,240.0,0.0,15.0
B1-002,240.0,245.0,0.0700000003,5.0
B1-002,245.0,260.0,0.0,15.0
B1-002,260.0,265.0,0.0700000003,5.0
B1-002,265.0,280.0,0.0,15.0
B1-002,280.0,285.0,0.0700000003,5.0
B1-002,285.0,300.0,0.0,15.0
B1-002,300.0,305.0,0.0700000003,5.0
B1-002,305.0,325.0,0.0,20.0
B1-002,325.0,330.0,0.0700000003,5.0
B1-002,330.0,365.0,0.0,35.0
B1-002,365.0,375.0,0.050000000700000005,10.0
B1-002,375.0,385.0,0.0799999982,10.0
B1-002,385.0,395.0,0.14000000099999999,10.0
B1-002,395.0,405.0,0.129999995,10.0
B1-002,405.0,415.0,0.0599999987,10.0
B1-002,415.0,425.0,0.0399999991,10.0
B1-002,425.0,435.0,0.050000000700000005,10.0
B1-002,435.0,445.0,0.0700000003,10.0
B1-002,445.0,455.0,0.129999995,10.0
B1-002,455.0,535.0,0.0,80.0
B1-002,535.0,540.0,0.379999995,5.0
B1-002,540.0,545.0,0.23000000399999998,5.0
B1-002,545.0,550.0,0.43999999799999995,5.0
B1-002,550.0,555.0,0.44999998799999996,5.0
B1-002,555.0,560.0,0.25999999,5.0
B1-002,560.0,565.0,0.25999999,5.0
B1-002,565.0,570.0,0.0299999993,5.0
B1-002,570.0,575.0,0.0299999993,5.0
B1-002,575.0,580.0,0.0700000003,5.0
B1-002,580.0,585.0,0.379999995,5.0
B1-002,585.0,590.0,0.300000012,5.0
B1-002,590.0,665.0,0.0,75.0
B1-002,665.0,675.0,0.0799999982,10.0
B1-002,675.0,685.0,0.119999997,10.0
B1-002,685.0,695.0,0.109999999,10.0
B1-002,695.0,705.0,0.119999997,10.0
B1-002,705.0,906.0,0.0,201.0
B1-003,0.0,85.0,0.0,85.0
B1-003,85.0,90.0,0.17000000199999998,5.0
B1-003,90.0,110.0,0.0,20.0
B1-003,110.0,115.0,0.129999995,5.0
B1-003,115.0,130.0,0.0,15.0
B1-003,130.0,135.0,0.180000007,5.0
B1-003,135.0,170.0,0.0,35.0
B1-003,170.0,180.0,0.43999999799999995,10.0
B1-003,180.0,190.0,0.180000007,10.0
B1-003,190.0,195.0,0.349999994,5.0
B1-003,195.0,200.0,0.330000013,5.0
B1-003,200.0,205.0,0.300000012,5.0
B1-003,205.0,210.0,0.159999996,5.0
B1-003,210.0,215.0,0.21999999899999997,5.0
B1-003,215.0,220.0,0.629999995,5.0
B1-003,220.0,225.0,0.09000000359999999,5.0
B1-003,225.0,230.0,0.300000012,5.0
B1-003,230.0,235.0,0.610000014,5.0
B1-003,235.0,240.0,1.70000005,5.0
B1-003,240.0,245.0,0.860000014,5.0
B1-003,245.0,250.0,0.379999995,5.0
B1-003,250.0,255.0,0.25999999,5.0
B1-003,255.0,265.0,0.0700000003,10.0
B1-003,265.0,275.0,0.0399999991,10.0
B1-003,275.0,285.0,0.10000000099999999,10.0
B1-003,285.0,295.0,0.159999996,10.0
B1-003,295.0,325.0,0.0,30.0
B1-003,325.0,330.0,0.09000000359999999,5.0
B1-003,330.0,345.0,0.0,15.0
B1-003,345.0,350.0,0.0799999982,5.0
B1-003,350.0,365.0,0.0,15.0
B1-003,365.0,370.0,0.0700000003,5.0
B1-003,370.0,385.0,0.0,15.0
B1-003,385.0,390.0,0.0799999982,5.0
B1-003,390.0,430.0,0.0,40.0
B1-003,430.0,435.0,0.14000000099999999,5.0
B1-003,435.0,450.0,0.0,15.0
B1-003,450.0,455.0,0.129999995,5.0
B1-003,455.0,465.0,0.09000000359999999,10.0
B1-003,465.0,475.0,0.189999998,10.0
B1-003,475.0,485.0,0.239999995,10.0
B1-003,485.0,495.0,0.180000007,10.0
B1-003,495.0,505.0,0.280000001,10.0
B1-003,505.0,510.0,0.400000006,5.0
B1-003,510.0,515.0,0.579999983,5.0
B1-003,515.0,520.0,0.47999998899999996,5.0
B1-003,520.0,525.0,0.310000002,5.0
B1-003,525.0,530.0,0.360000014,5.0
B1-003,530.0,535.0,0.46000000799999996,5.0
B1-003,535.0,540.0,0.469999999,5.0
B1-003,540.0,545.0,0.469999999,5.0
B1-003,545.0,555.0,0.17000000199999998,10.0
B1-003,555.0,565.0,0.109999999,10.0
B1-003,565.0,575.0,0.119999997,10.0
B1-003,575.0,932.0,0.0,357.0
B1-004,0.0,125.0,0.0,125.0
B1-004,125.0,130.0,0.0700000003,5.0
B1-004,130.0,150.0,0.0,20.0
B1-004,150.0,155.0,0.0599999987,5.0
B1-004,155.0,175.0,0.0,20.0
B1-004,175.0,180.0,0.0599999987,5.0
B1-004,180.0,200.0,0.0,20.0
B1-004,200.0,205.0,0.0700000003,5.0
B1-004,205.0,225.0,0.0,20.0
B1-004,225.0,230.0,0.0599999987,5.0
B1-004,230.0,250.0,0.0,20.0
B1-004,250.0,255.0,0.0700000003,5.0
B1-004,255.0,280.0,0.0,25.0
B1-004,280.0,285.0,0.21999999899999997,5.0
B1-004,285.0,295.0,0.0,10.0
B1-004,295.0,305.0,0.109999999,10.0
B1-004,305.0,310.0,0.430000007,5.0
B1-004,310.0,315.0,0.17000000199999998,5.0
B1-004,315.0,320.0,0.17000000199999998,5.0
B1-004,320.0,325.0,0.209999993,5.0
B1-004,325.0,330.0,0.25999999,5.0
B1-004,330.0,335.0,0.180000007,5.0
B1-004,335.0,340.0,0.159999996,5.0
B1-004,340.0,345.0,0.150000006,5.0
B1-004,345.0,350.0,0.0700000003,5.0
B1-004,350.0,355.0,0.23000000399999998,5.0
B1-004,355.0,360.0,0.289999992,5.0
B1-004,360.0,365.0,0.430000007,5.0
