BHID,FROM,TO,_len,caco3,_acum,azmm,dipm,xm,ym,zm,azmb,dipb,xb,yb,zb,azme,dipe,xe,ye,ze,BHIDint
GL10DH1,0.0,3.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762599.184181571,309412.8158184141,1304.477211713791,135.0,-80.00001525878906,9762599.0,309413.0,1303.0,135.0,-79.99999237060547,9762599.368363395,309412.63163658977,1305.9544233083725,1
GL10DH1,3.0,6.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762599.55254522,309412.44745476544,1307.431634902954,135.0,-79.99999237060547,9762599.368363395,309412.63163658977,1305.9544233083725,135.0,-79.99999237060547,9762599.736727044,309412.2632729411,1308.9088464975357,1
GL10DH1,6.0,9.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762599.920908868,309412.0790911168,1310.3860580921173,135.0,-79.99999237060547,9762599.736727044,309412.2632729411,1308.9088464975357,135.0,-79.99999237060547,9762600.105090693,309411.89490929246,1311.863269686699,1
GL10DH1,9.0,12.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762600.289272517,309411.71072746813,1313.3404812812805,135.0,-79.99999237060547,9762600.105090693,309411.89490929246,1311.863269686699,135.0,-79.99999237060547,9762600.473454341,309411.5265456438,1314.8176928758621,1
GL10DH1,12.0,15.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762600.657636166,309411.3423638195,1316.2949044704437,135.0,-79.99999237060547,9762600.473454341,309411.5265456438,1314.8176928758621,135.0,-79.99999237060547,9762600.84181799,309411.15818199515,1317.7721160650253,1
GL10DH1,15.0,18.0,3.0,0.0,0.0,135.0,-79.9999771118164,9762601.025999933,309410.9740000367,1319.249327659607,135.0,-79.99999237060547,9762600.84181799,309411.15818199515,1317.7721160650253,135.0,-79.99999237060547,9762601.210181877,309410.7898180783,1320.7265392541885,1
GL10DH1,18.0,21.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762601.394363701,309410.60563625395,1322.2037508487701,135.0,-79.99999237060547,9762601.210181877,309410.7898180783,1320.7265392541885,135.0,-80.00001525878906,9762601.578545272,309410.42145466805,1323.680962562561,1
GL10DH1,21.0,24.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762601.762726843,309410.23727308214,1325.158174276352,135.0,-80.00001525878906,9762601.578545272,309410.42145466805,1323.680962562561,135.0,-79.99999237060547,9762601.946908668,309410.0530912578,1326.6353858709335,1
GL10DH1,24.0,27.0,3.0,0.0,0.0,135.0,-79.9999771118164,9762602.131090611,309409.8689092994,1328.1125974655151,135.0,-79.99999237060547,9762601.946908668,309410.0530912578,1326.6353858709335,135.0,-79.99999237060547,9762602.315272555,309409.68472734094,1329.5898090600967,1
GL10DH1,27.0,30.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762602.49945438,309409.5005455166,1331.0670206546783,135.0,-79.99999237060547,9762602.315272555,309409.68472734094,1329.5898090600967,135.0,-80.00001525878906,9762602.68363595,309409.3163639307,1332.5442323684692,1
GL10DH1,30.0,33.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762602.867817521,309409.1321823448,1334.0214440822601,135.0,-80.00001525878906,9762602.68363595,309409.3163639307,1332.5442323684692,135.0,-79.99999237060547,9762603.051999345,309408.94800052047,1335.4986556768417,1
GL10DH1,33.0,36.0,3.0,0.0,0.0,135.0,-79.9999771118164,9762603.236181289,309408.76381856203,1336.9758672714233,135.0,-79.99999237060547,9762603.051999345,309408.94800052047,1335.4986556768417,135.0,-79.99999237060547,9762603.420363232,309408.5796366036,1338.453078866005,1
GL10DH1,36.0,39.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762603.604545057,309408.39545477927,1339.9302904605865,135.0,-79.99999237060547,9762603.420363232,309408.5796366036,1338.453078866005,135.0,-80.00001525878906,9762603.788726628,309408.21127319336,1341.4075021743774,1
GL10DH1,39.0,42.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762603.972908199,309408.02709160745,1342.8847138881683,135.0,-80.00001525878906,9762603.788726628,309408.21127319336,1341.4075021743774,135.0,-79.99999237060547,9762604.157090023,309407.8429097831,1344.36192548275,1
GL10DH1,42.0,45.0,3.0,0.0,0.0,135.0,-79.9999771118164,9762604.341271967,309407.6587278247,1345.8391370773315,135.0,-79.99999237060547,9762604.157090023,309407.8429097831,1344.36192548275,135.0,-79.99999237060547,9762604.52545391,309407.47454586625,1347.3163486719131,1
GL10DH1,45.0,48.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762604.709635735,309407.2903640419,1348.7935602664948,135.0,-79.99999237060547,9762604.52545391,309407.47454586625,1347.3163486719131,135.0,-79.99999237060547,9762604.893817559,309407.1061822176,1350.2707718610764,1
GL10DH1,48.0,51.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762605.077999383,309406.9220003933,1351.747983455658,135.0,-79.99999237060547,9762604.893817559,309407.1061822176,1350.2707718610764,135.0,-79.99999237060547,9762605.262181208,309406.73781856894,1353.2251950502396,1
GL10DH1,51.0,54.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762605.446363032,309406.5536367446,1354.7024066448212,135.0,-79.99999237060547,9762605.262181208,309406.73781856894,1353.2251950502396,135.0,-79.99999237060547,9762605.630544856,309406.3694549203,1356.1796182394028,1
GL10DH1,54.0,57.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762605.81472668,309406.18527309597,1357.6568298339844,135.0,-79.99999237060547,9762605.630544856,309406.3694549203,1356.1796182394028,135.0,-79.99999237060547,9762605.998908505,309406.00109127164,1359.134041428566,1
GL10DH1,57.0,60.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762606.18309033,309405.8169094473,1360.6112530231476,135.0,-79.99999237060547,9762605.998908505,309406.00109127164,1359.134041428566,135.0,-80.00001525878906,9762606.3672719,309405.6327278614,1362.0884647369385,1
GL10DH1,60.0,63.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762606.551453471,309405.4485462755,1363.5656764507294,135.0,-80.00001525878906,9762606.3672719,309405.6327278614,1362.0884647369385,135.0,-79.99999237060547,9762606.735635296,309405.26436445117,1365.042888045311,1
GL10DH1,63.0,66.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762606.91981712,309405.08018262684,1366.5200996398926,135.0,-79.99999237060547,9762606.735635296,309405.26436445117,1365.042888045311,135.0,-79.99999237060547,9762607.103998944,309404.8960008025,1367.9973112344742,1
GL10DH1,66.0,69.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762607.288180768,309404.7118189782,1369.4745228290558,135.0,-79.99999237060547,9762607.103998944,309404.8960008025,1367.9973112344742,135.0,-79.99999237060547,9762607.472362593,309404.52763715386,1370.9517344236374,1
GL10DH1,69.0,72.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762607.656544417,309404.34345532954,1372.428946018219,135.0,-79.99999237060547,9762607.472362593,309404.52763715386,1370.9517344236374,135.0,-79.99999237060547,9762607.840726241,309404.1592735052,1373.9061576128006,1
GL10DH1,72.0,75.0,3.0,29.359200000000175,88.07760000000053,135.0,-79.99999237060547,9762608.024908066,309403.9750916809,1375.3833692073822,135.0,-79.99999237060547,9762607.840726241,309404.1592735052,1373.9061576128006,135.0,-79.99999237060547,9762608.20908989,309403.79090985656,1376.8605808019638,1
GL10DH1,75.0,78.0,3.0,84.69,254.07,135.0,-79.9999771118164,9762608.393271834,309403.6067278981,1378.3377923965454,135.0,-79.99999237060547,9762608.20908989,309403.79090985656,1376.8605808019638,135.0,-79.99999237060547,9762608.577453777,309403.4225459397,1379.815003991127,1
GL10DH1,78.0,81.0,3.0,83.62760000000002,250.88280000000003,135.0,-79.99999237060547,9762608.761635602,309403.23836411536,1381.2922155857086,135.0,-79.99999237060547,9762608.577453777,309403.4225459397,1379.815003991127,135.0,-79.99999237060547,9762608.945817426,309403.05418229103,1382.7694271802902,1
GL10DH1,81.0,84.0,2.4000000000000057,81.37,195.28800000000047,135.0,-79.99999237060547,9762609.12999925,309402.8700004667,1384.2466387748718,135.0,-79.99999237060547,9762608.945817426,309403.05418229103,1382.7694271802902,135.0,-80.0,9762609.314181075,309402.6858186424,1385.7238503694534,1
GL10DH2,0.0,3.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762574.184181571,309456.8158184141,1303.477211713791,135.0,-80.00001525878906,9762574.0,309457.0,1302.0,135.0,-79.99999237060547,9762574.368363395,309456.63163658977,1304.9544233083725,2
GL10DH2,3.0,6.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762574.55254522,309456.44745476544,1306.431634902954,135.0,-79.99999237060547,9762574.368363395,309456.63163658977,1304.9544233083725,135.0,-79.99999237060547,9762574.736727044,309456.2632729411,1307.9088464975357,2
GL10DH2,6.0,9.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762574.920908868,309456.0790911168,1309.3860580921173,135.0,-79.99999237060547,9762574.736727044,309456.2632729411,1307.9088464975357,135.0,-79.99999237060547,9762575.105090693,309455.89490929246,1310.863269686699,2
GL10DH2,9.0,12.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762575.289272517,309455.71072746813,1312.3404812812805,135.0,-79.99999237060547,9762575.105090693,309455.89490929246,1310.863269686699,135.0,-79.99999237060547,9762575.473454341,309455.5265456438,1313.8176928758621,2
GL10DH2,12.0,15.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762575.657636166,309455.3423638195,1315.2949044704437,135.0,-79.99999237060547,9762575.473454341,309455.5265456438,1313.8176928758621,135.0,-79.99999237060547,9762575.84181799,309455.15818199515,1316.7721160650253,2
GL10DH2,15.0,18.0,3.0,0.0,0.0,135.0,-79.9999771118164,9762576.025999933,309454.9740000367,1318.249327659607,135.0,-79.99999237060547,9762575.84181799,309455.15818199515,1316.7721160650253,135.0,-79.99999237060547,9762576.210181877,309454.7898180783,1319.7265392541885,2
GL10DH2,18.0,21.0,3.0,63.255733333333296,189.7671999999999,135.0,-79.99999237060547,9762576.394363701,309454.60563625395,1321.2037508487701,135.0,-79.99999237060547,9762576.210181877,309454.7898180783,1319.7265392541885,135.0,-80.00001525878906,9762576.578545272,309454.42145466805,1322.680962562561,2
GL10DH2,21.0,24.0,3.0,91.394,274.182,135.0,-79.99999237060547,9762576.762726843,309454.23727308214,1324.158174276352,135.0,-80.00001525878906,9762576.578545272,309454.42145466805,1322.680962562561,135.0,-79.99999237060547,9762576.946908668,309454.0530912578,1325.6353858709335,2
GL10DH2,24.0,27.0,3.0,89.45586666666667,268.3676,135.0,-79.9999771118164,9762577.131090611,309453.8689092994,1327.1125974655151,135.0,-79.99999237060547,9762576.946908668,309454.0530912578,1325.6353858709335,135.0,-79.99999237060547,9762577.315272555,309453.68472734094,1328.5898090600967,2
GL10DH2,27.0,30.0,3.0,60.87213333333335,182.61640000000006,135.0,-79.99999237060547,9762577.49945438,309453.5005455166,1330.0670206546783,135.0,-79.99999237060547,9762577.315272555,309453.68472734094,1328.5898090600967,135.0,-80.00001525878906,9762577.68363595,309453.3163639307,1331.5442323684692,2
