BHID,XCOLLAR,YCOLLAR,ZCOLLAR,max_depth
GL9DH1,9762503,309381,1302,96.09
GL9DH2,9762479,309426,1302,122.41
GL9DH3,9762455,309472,1298,138.91
GL10DH1,9762599,309413,1303,83.4
GL10DH2,9762574,309457,1302,116.06
GL10DH3,9762538,309497,1301,48.67
GL11DH1,9762681,309503,1304,60.9
GL11DH2,9762646,309531,1303,81.4
GL11DH3,9762702,309457,1306,53.63
GL11DH4,9762620,309573,1301,146.67
GL12DH1,9762788,309475,1308,81.72
GL12DH2,9762763,309520,1307,81.54
GL12DH3,9762739,309562,1305,101.12
GL13DH1,9762882,309508,1310,53.94
GL13DH2,9762857,309557,1310,91.54
GL13DH3,9762834,309595,1308,108.5
