BHID,FROM,TO,core_recovery,caco3,mgco3
GL9DH1,0,12.76,0,0,0
GL9DH1,12.76,15.91,0,0,0
GL9DH1,15.91,21.99,0,0,0
GL9DH1,21.99,28.07,12,0,0
GL9DH1,28.07,31.11,0,0,0
GL9DH1,31.11,34.15,12,0,0
GL9DH1,34.15,37.19,12,0,0
GL9DH1,37.19,43.27,12,0,0
GL9DH1,43.27,46.99,12,0,0
GL9DH1,46.99,47.61,82,0,0
GL9DH1,47.61,49.37,82,0,0
GL9DH1,49.37,54.07,82,0,0
GL9DH1,54.07,58.47,95,0,0
GL9DH1,58.47,61.14,95,0,0
GL9DH1,61.14,64.55,76,0,0
GL9DH1,64.55,67.37,76,0,2.25
GL9DH1,67.37,70.46,76,91.61,1.87
GL9DH1,70.46,71.11,76,86.5,1.81
GL9DH1,71.11,73.67,100,84.64,2.25
GL9DH1,73.67,76.71,100,87.86,2.25
GL9DH1,76.71,78.58,100,77.66,4.5
GL9DH1,78.58,79.75,0,79.99,3.37
GL9DH1,79.75,96.09,100,0,0
GL9DH2,0,31.29,0,0,0
GL9DH2,31.29,34.33,17,0,0
GL9DH2,34.33,37.37,17,90.4,2.3
GL9DH2,37.37,40.41,17,0,0
GL9DH2,40.41,43.3,17,0,0
GL9DH2,43.3,52.57,70,0,0
GL9DH2,52.57,55.61,70,0,0
GL9DH2,55.61,58.65,79,0,0
GL9DH2,58.65,61.23,79,0,0
GL9DH2,61.23,66.75,88,0,0
GL9DH2,66.75,69.83,88,93.73,0.6
GL9DH2,69.83,73.75,95,94.21,0.77
GL9DH2,73.75,77.91,95,0,0
GL9DH2,77.91,89.06,100,0,0
GL9DH2,89.06,92.09,100,81.84,4.6
GL9DH2,92.09,96.13,100,88.5,1.92
GL9DH2,96.13,98.17,100,89.93,2.11
GL9DH2,98.17,100.38,100,82.32,1.15
GL9DH2,100.38,101.21,100,90.4,1.72
GL9DH2,101.21,122.41,100,0,0
GL9DH3,0,36,15,0,0
GL9DH3,36,40.11,15,0,0
GL9DH3,40.11,49.43,15,79.46,4.41
GL9DH3,49.43,52.47,15,79,4.6
GL9DH3,52.47,57.58,15,89.45,1.15
GL9DH3,57.58,58.47,100,0,0
GL9DH3,58.47,61.45,100,73.26,7.66
GL9DH3,61.45,67.71,100,0,0
GL9DH3,67.71,70.75,100,88.97,2.3
GL9DH3,70.75,72.56,100,92.79,2.11
GL9DH3,72.56,73.79,100,72.8,1.53
GL9DH3,73.79,76.83,100,88.97,1.15
GL9DH3,76.83,79.87,100,89.45,2.68
GL9DH3,79.87,82.91,97,93.26,1.92
GL9DH3,82.91,86.95,97,90.4,2.49
GL9DH3,86.95,87.86,97,85.65,3.64
GL9DH3,87.86,89.07,100,88.97,2.4
GL9DH3,89.07,92.11,100,86.6,2.87
GL9DH3,92.11,96.16,100,91.36,2.87
GL9DH3,96.16,98.19,100,89.94,9.72
GL9DH3,98.19,101.23,100,91.83,2.87
GL9DH3,101.23,102.97,100,94.22,1.92
GL9DH3,102.97,104.27,100,92.31,1.53
GL9DH3,104.27,107.31,100,91.36,1.53
GL9DH3,107.31,110.34,100,94.22,1.72
GL9DH3,110.34,113.38,100,92.31,1.93
GL9DH3,113.38,115.45,100,93.36,1.72
GL9DH3,115.45,117.56,100,91.36,1.15
GL9DH3,117.56,118.46,100,0,0
GL9DH3,118.46,121.56,100,93.26,1.15
GL9DH3,121.56,124.54,100,91.36,1.92
GL9DH3,124.54,127.58,95,92.31,1.72
GL9DH3,127.58,130.26,95,91.36,1.92
GL9DH3,130.26,133.66,100,93.74,1.72
GL9DH3,133.66,136.7,100,93.74,1.72
GL9DH3,136.7,138.91,100,83.29,2.87
GL10DH1,0,17.32,0,0,0
GL10DH1,17.32,19.16,47,0,0
GL10DH1,19.16,31.32,47,0,0
GL10DH1,31.32,34.36,47,0,0
GL10DH1,34.36,42.16,88,0,0
GL10DH1,42.16,43.48,75,0,0
GL10DH1,43.48,45.92,94,0,0
GL10DH1,45.92,73.96,100,0,0
GL10DH1,73.96,80.04,82,84.69,2.11
GL10DH1,80.04,83.4,20,81.37,2.11
GL10DH2,0,18.94,21,0,0
GL10DH2,18.94,22.2,21,92.12,1.15
GL10DH2,22.2,26.24,21,90.91,1.72
GL10DH2,26.24,28.28,49,85.17,1.72
GL10DH2,28.28,34.36,49,42.79,2.11
GL10DH2,34.36,37.4,49,91.93,2.68
GL10DH2,37.4,40.44,94,94.21,1.72
GL10DH2,40.44,43.48,94,92.79,2.68
GL10DH2,43.48,49.56,94,0,0
GL10DH2,49.56,85,100,0,0
GL10DH2,85,98.26,100,93.74,1.34
GL10DH2,98.26,101.3,100,94.21,1.92
GL10DH2,101.3,104.34,100,92.79,2.68
GL10DH2,104.34,107.44,100,94.21,1.52
GL10DH2,107.44,110.46,100,78.51,1.53
GL10DH2,110.46,116.06,100,0,0
GL10DH3,0,23.58,0,0,0
GL10DH3,23.58,34.36,25,0,0
GL10DH3,34.36,41.33,91,0,0
GL10DH3,41.33,48.67,91,0,0
GL11DH1,0,11.04,0,0,0
GL11DH1,11.04,15.07,23,0,0
GL11DH1,15.07,21.78,23,0,0
GL11DH1,21.78,22.2,23,83.49,1.21
GL11DH1,22.2,25.24,23,89.49,1.21
