BHID,YCOLLAR,XCOLLAR,ZCOLLAR,max_depth
GL9DH1,9762503.0,309381.0,1302.0,96.09
GL9DH2,9762479.0,309426.0,1302.0,122.41
GL9DH3,9762455.0,309472.0,1298.0,138.91
GL10DH1,9762599.0,309413.0,1303.0,83.4
GL10DH2,9762574.0,309457.0,1302.0,116.06
GL10DH3,9762538.0,309497.0,1301.0,48.67
GL11DH1,9762681.0,309503.0,1304.0,60.9
GL11DH2,9762646.0,309531.0,1303.0,81.4
GL11DH3,9762702.0,309457.0,1306.0,53.63
GL11DH4,9762620.0,309573.0,1301.0,146.67
GL12DH1,9762788.0,309475.0,1308.0,81.72
GL12DH2,9762763.0,309520.0,1307.0,81.54
GL12DH3,9762739.0,309562.0,1305.0,101.12
GL13DH1,9762882.0,309508.0,1310.0,53.94
GL13DH2,9762857.0,309557.0,1310.0,91.54
GL13DH3,9762834.0,309595.0,1308.0,108.5
