BHID,FROM,TO,_len,caco3,_acum,azmm,dipm,xm,ym,zm,azmb,dipb,xb,yb,zb,azme,dipe,xe,ye,ze,BHIDint
GL10DH1,75.0,78.0,3.0,84.69,254.07,135.0,79.9999771118164,309422.39327029884,9762589.606729686,1227.6622079610825,135.0,79.99999237060547,309422.2090883255,9762589.790911674,1229.139419555664,135.0,79.99999237060547,309422.5774522722,9762589.422547698,1226.1849963665009,1
GL10DH1,78.0,81.0,3.0,83.62760000000002,250.88280000000003,135.0,79.99999237060547,309422.7616341114,9762589.238365859,1224.7077847719193,135.0,79.99999237060547,309422.5774522722,9762589.422547698,1226.1849963665009,135.0,79.99999237060547,309422.94581595063,9762589.05418402,1223.2305731773376,1
GL10DH1,81.0,84.0,3.0,81.37,244.11,135.0,79.99999237060547,309423.12999778986,9762588.87000218,1221.753361582756,135.0,79.99999237060547,309422.94581595063,9762589.05418402,1223.2305731773376,135.0,80.0,309423.3141795546,9762588.685820416,1220.2761499881744,1
GL10DH2,84.0,87.0,3.0,62.49333333333333,187.48,135.0,79.9999771118164,309467.4983613938,9762563.501638591,1217.798934340477,135.0,79.99999237060547,309467.3141794205,9762563.68582058,1219.2761459350586,135.0,79.99999237060547,309467.68254336715,9762563.317456603,1216.3217227458954,2
GL10DH2,87.0,90.0,3.0,93.74,281.21999999999997,135.0,79.99999237060547,309467.8667252064,9762563.133274764,1214.8445111513138,135.0,79.99999237060547,309467.68254336715,9762563.317456603,1216.3217227458954,135.0,80.00001525878906,309468.050906837,9762562.949093133,1213.3672995567322,2
GL10DH2,90.0,93.0,3.0,93.74,281.21999999999997,135.0,79.99999237060547,309468.2350884676,9762562.764911503,1211.8900879621506,135.0,80.00001525878906,309468.050906837,9762562.949093133,1213.3672995567322,135.0,79.99999237060547,309468.4192703068,9762562.580729663,1210.412876367569,2
GL10DH2,93.0,96.0,3.0,93.74,281.21999999999997,135.0,79.9999771118164,309468.60345228016,9762562.396547675,1208.9356647729874,135.0,79.99999237060547,309468.4192703068,9762562.580729663,1210.412876367569,135.0,79.99999237060547,309468.7876342535,9762562.212365687,1207.4584531784058,2
GL10DH2,96.0,99.0,3.0,93.85593333333333,281.5678,135.0,79.99999237060547,309468.97181609273,9762562.028183848,1205.9812415838242,135.0,79.99999237060547,309468.7876342535,9762562.212365687,1207.4584531784058,135.0,80.00001525878906,309469.15599772334,9762561.844002217,1204.5040299892426,2
GL10DH2,99.0,102.0,3.0,93.87866666666666,281.63599999999997,135.0,79.99999237060547,309469.34017935395,9762561.659820586,1203.026818394661,135.0,80.00001525878906,309469.15599772334,9762561.844002217,1204.5040299892426,135.0,80.00001525878906,309469.52436098456,9762561.475638956,1201.5496068000793,2
GL10DH2,102.0,105.0,3.0,93.10239999999999,279.30719999999997,135.0,79.99999237060547,309469.7085426152,9762561.291457325,1200.0723952054977,135.0,80.00001525878906,309469.52436098456,9762561.475638956,1201.5496068000793,135.0,79.99999237060547,309469.8927244544,9762561.107275486,1198.5951836109161,2
GL10DH2,105.0,108.0,3.0,91.27933333333333,273.83799999999997,135.0,79.99999237060547,309470.07690629363,9762560.923093647,1197.1179720163345,135.0,79.99999237060547,309469.8927244544,9762561.107275486,1198.5951836109161,135.0,79.99999237060547,309470.26108813286,9762560.738911808,1195.640760421753,2
GL10DH2,108.0,111.0,3.0,64.37819999999984,193.13459999999952,135.0,79.99999237060547,309470.4452699721,9762560.554729968,1194.1635488271713,135.0,79.99999237060547,309470.26108813286,9762560.738911808,1195.640760421753,135.0,79.99999237060547,309470.6294518113,9762560.37054813,1192.6863372325897,2
GL11DH1,21.0,24.0,3.0,65.38259999999997,196.1477999999999,135.0,79.99999237060547,309505.7627233863,9762678.237276614,1281.841824889183,135.0,80.00001525878906,309505.5785417557,9762678.421458244,1283.3190364837646,135.0,79.99999237060547,309505.9469052255,9762678.053094774,1280.3646132946014,4
GL11DH1,24.0,27.0,3.0,90.95666666666666,272.87,135.0,79.9999771118164,309506.13108719885,9762677.868912786,1278.8874017000198,135.0,79.99999237060547,309505.9469052255,9762678.053094774,1280.3646132946014,135.0,79.99999237060547,309506.3152691722,9762677.684730798,1277.4101901054382,4
GL11DH1,27.0,30.0,3.0,90.84333333333332,272.53,135.0,79.99999237060547,309506.4994510114,9762677.500548959,1275.9329785108566,135.0,79.99999237060547,309506.3152691722,9762677.684730798,1277.4101901054382,135.0,80.00001525878906,309506.68363264203,9762677.316367328,1274.455766916275,4
GL11DH1,30.0,33.0,3.0,88.875,266.625,135.0,79.99999237060547,309506.86781427264,9762677.132185698,1272.9785553216934,135.0,80.00001525878906,309506.68363264203,9762677.316367328,1274.455766916275,135.0,79.99999237060547,309507.05199611187,9762676.948003858,1271.5013437271118,4
GL11DH1,33.0,36.0,3.0,90.14833333333333,270.445,135.0,79.9999771118164,309507.2361780852,9762676.76382187,1270.0241321325302,135.0,79.99999237060547,309507.05199611187,9762676.948003858,1271.5013437271118,135.0,79.99999237060547,309507.42036005855,9762676.579639882,1268.5469205379486,4
GL11DH1,36.0,39.0,3.0,91.56333333333333,274.69,135.0,79.99999237060547,309507.6045418978,9762676.395458043,1267.069708943367,135.0,79.99999237060547,309507.42036005855,9762676.579639882,1268.5469205379486,135.0,80.00001525878906,309507.7887235284,9762676.211276412,1265.5924973487854,4
GL11DH1,39.0,42.0,3.0,89.84333333333332,269.53,135.0,79.99999237060547,309507.972905159,9762676.027094781,1264.1152857542038,135.0,80.00001525878906,309507.7887235284,9762676.211276412,1265.5924973487854,135.0,79.99999237060547,309508.1570869982,9762675.842912942,1262.6380741596222,4
GL11DH1,42.0,45.0,3.0,89.74833333333333,269.245,135.0,79.9999771118164,309508.34126897156,9762675.658730954,1261.1608625650406,135.0,79.99999237060547,309508.1570869982,9762675.842912942,1262.6380741596222,135.0,79.99999237060547,309508.5254509449,9762675.474548966,1259.683650970459,4
GL11DH1,45.0,48.0,3.0,91.23666666666666,273.71,135.0,79.99999237060547,309508.7096327841,9762675.290367126,1258.2064393758774,135.0,79.99999237060547,309508.5254509449,9762675.474548966,1259.683650970459,135.0,79.99999237060547,309508.89381462336,9762675.106185287,1256.7292277812958,4
GL11DH1,48.0,51.0,3.0,90.53000000000002,271.59000000000003,135.0,79.99999237060547,309509.0779964626,9762674.922003448,1255.2520161867142,135.0,79.99999237060547,309508.89381462336,9762675.106185287,1256.7292277812958,135.0,79.99999237060547,309509.2621783018,9762674.737821609,1253.7748045921326,4
GL11DH1,51.0,54.0,3.0,92.03666666666665,276.10999999999996,135.0,79.99999237060547,309509.44636014104,9762674.55363977,1252.297592997551,135.0,79.99999237060547,309509.2621783018,9762674.737821609,1253.7748045921326,135.0,79.99999237060547,309509.63054198027,9762674.36945793,1250.8203814029694,4
GL11DH1,54.0,57.0,3.0,51.10786666666669,153.32360000000006,135.0,79.99999237060547,309509.8147238195,9762674.185276091,1249.3431698083878,135.0,79.99999237060547,309509.63054198027,9762674.36945793,1250.8203814029694,135.0,79.99999237060547,309509.9989056587,9762674.001094252,1247.8659582138062,4
GL11DH2,45.0,48.0,3.0,90.13,270.39,135.0,79.99999237060547,309536.7096349299,9762640.29036507,1257.2064393758774,135.0,79.99999237060547,309536.52545309067,9762640.47454691,1258.683650970459,135.0,79.99999237060547,309536.8938167691,9762640.10618323,1255.7292277812958,5
