IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
11,11,0,0,309475.0,9762425.0,1165.0,0.125,85.180695,90.93659,89.21167,-206.1449,360.19415
12,12,0,0,309485.0,9762425.0,1165.0,0.125,85.326744,91.323845,89.21167,-200.97127,349.61017
39,11,1,0,309475.0,9762435.0,1165.0,0.25,85.352165,91.29451,93.74,-200.78198,349.2406
40,12,1,0,309485.0,9762435.0,1165.0,0.375,87.030685,91.53686,89.21167,-145.05534,217.97144
41,13,1,0,309495.0,9762435.0,1165.0,0.125,86.21452,91.48072,89.21167,-170.5848,281.46558
67,11,2,0,309475.0,9762445.0,1165.0,0.125,82.47598,90.97906,93.74,-114.524536,266.9711
68,12,2,0,309485.0,9762445.0,1165.0,0.375,86.43925,91.893776,93.74,-168.81815,277.69635
69,13,2,0,309495.0,9762445.0,1165.0,0.375,85.93136,91.71086,93.74,-182.9855,310.70068
70,14,2,0,309505.0,9762445.0,1165.0,0.125,85.20588,91.29426,93.74,-205.4056,358.69946
96,12,3,0,309485.0,9762455.0,1165.0,0.25,84.04967,90.91676,93.74,-115.814125,269.68134
97,13,3,0,309495.0,9762455.0,1165.0,0.5,84.097626,91.01403,93.74,-137.07593,291.1301
98,14,3,0,309505.0,9762455.0,1165.0,0.25,84.01815,90.61211,93.74,-138.43492,293.89035
124,12,4,0,309485.0,9762465.0,1165.0,0.25,84.76138,90.09648,93.74,-106.1311,261.82245
125,13,4,0,309495.0,9762465.0,1165.0,0.5,84.00467,89.85211,93.74,-138.67627,294.37476
126,14,4,0,309505.0,9762465.0,1165.0,0.375,83.99989,89.69082,93.74,-138.75754,294.53754
127,15,4,0,309515.0,9762465.0,1165.0,0.125,83.99796,89.3173,93.74,-138.79079,294.60403
152,12,5,0,309485.0,9762475.0,1165.0,0.125,85.044624,88.491135,93.74,-100.45414,256.26642
153,13,5,0,309495.0,9762475.0,1165.0,0.375,84.7475,89.10742,93.74,-132.2893,288.10065
154,14,5,0,309505.0,9762475.0,1165.0,0.5,83.99777,88.56976,93.74,-138.79427,294.611
155,15,5,0,309515.0,9762475.0,1165.0,0.375,83.99763,88.4108,93.74,-138.79678,294.61606
156,16,5,0,309525.0,9762475.0,1165.0,0.125,83.99758,88.14883,93.74,-138.79745,294.61737
181,13,6,0,309495.0,9762485.0,1165.0,0.25,84.746994,87.74915,93.74,-132.29745,288.11694
182,14,6,0,309505.0,9762485.0,1165.0,0.5,84.74698,87.95945,93.74,-132.29774,288.11752
183,15,6,0,309515.0,9762485.0,1165.0,0.5,83.99759,87.4575,93.74,-138.7975,294.61746
184,16,6,0,309525.0,9762485.0,1165.0,0.25,83.997574,87.36139,93.74,-138.79756,294.61758
209,13,7,0,309495.0,9762495.0,1165.0,0.125,84.74696,86.57609,93.74,-132.29797,288.11798
210,14,7,0,309505.0,9762495.0,1165.0,0.375,84.746956,86.85702,93.74,-132.29799,288.11804
