IJK,IX,IY,IZ,XC,YC,ZC,__in
11,11,0,0,309475.0,9762425.0,1165.0,0.125
12,12,0,0,309485.0,9762425.0,1165.0,0.125
39,11,1,0,309475.0,9762435.0,1165.0,0.25
40,12,1,0,309485.0,9762435.0,1165.0,0.375
41,13,1,0,309495.0,9762435.0,1165.0,0.125
67,11,2,0,309475.0,9762445.0,1165.0,0.125
68,12,2,0,309485.0,9762445.0,1165.0,0.375
69,13,2,0,309495.0,9762445.0,1165.0,0.375
70,14,2,0,309505.0,9762445.0,1165.0,0.125
96,12,3,0,309485.0,9762455.0,1165.0,0.25
97,13,3,0,309495.0,9762455.0,1165.0,0.5
98,14,3,0,309505.0,9762455.0,1165.0,0.25
124,12,4,0,309485.0,9762465.0,1165.0,0.25
125,13,4,0,309495.0,9762465.0,1165.0,0.5
126,14,4,0,309505.0,9762465.0,1165.0,0.375
127,15,4,0,309515.0,9762465.0,1165.0,0.125
152,12,5,0,309485.0,9762475.0,1165.0,0.125
153,13,5,0,309495.0,9762475.0,1165.0,0.375
154,14,5,0,309505.0,9762475.0,1165.0,0.5
155,15,5,0,309515.0,9762475.0,1165.0,0.375
156,16,5,0,309525.0,9762475.0,1165.0,0.125
181,13,6,0,309495.0,9762485.0,1165.0,0.25
182,14,6,0,309505.0,9762485.0,1165.0,0.5
183,15,6,0,309515.0,9762485.0,1165.0,0.5
184,16,6,0,309525.0,9762485.0,1165.0,0.25
209,13,7,0,309495.0,9762495.0,1165.0,0.125
210,14,7,0,309505.0,9762495.0,1165.0,0.375
211,15,7,0,309515.0,9762495.0,1165.0,0.5
212,16,7,0,309525.0,9762495.0,1165.0,0.375
213,17,7,0,309535.0,9762495.0,1165.0,0.125
238,14,8,0,309505.0,9762505.0,1165.0,0.125
239,15,8,0,309515.0,9762505.0,1165.0,0.375
240,16,8,0,309525.0,9762505.0,1165.0,0.5
241,17,8,0,309535.0,9762505.0,1165.0,0.375
242,18,8,0,309545.0,9762505.0,1165.0,0.125
267,15,9,0,309515.0,9762515.0,1165.0,0.25
268,16,9,0,309525.0,9762515.0,1165.0,0.5
269,17,9,0,309535.0,9762515.0,1165.0,0.5
270,18,9,0,309545.0,9762515.0,1165.0,0.25
295,15,10,0,309515.0,9762525.0,1165.0,0.125
296,16,10,0,309525.0,9762525.0,1165.0,0.375
297,17,10,0,309535.0,9762525.0,1165.0,0.5
298,18,10,0,309545.0,9762525.0,1165.0,0.375
299,19,10,0,309555.0,9762525.0,1165.0,0.125
324,16,11,0,309525.0,9762535.0,1165.0,0.125
325,17,11,0,309535.0,9762535.0,1165.0,0.375
326,18,11,0,309545.0,9762535.0,1165.0,0.5
327,19,11,0,309555.0,9762535.0,1165.0,0.375
328,20,11,0,309565.0,9762535.0,1165.0,0.125
353,17,12,0,309535.0,9762545.0,1165.0,0.25
354,18,12,0,309545.0,9762545.0,1165.0,0.5
355,19,12,0,309555.0,9762545.0,1165.0,0.5
356,20,12,0,309565.0,9762545.0,1165.0,0.25
381,17,13,0,309535.0,9762555.0,1165.0,0.125
382,18,13,0,309545.0,9762555.0,1165.0,0.375
383,19,13,0,309555.0,9762555.0,1165.0,0.5
384,20,13,0,309565.0,9762555.0,1165.0,0.375
385,21,13,0,309575.0,9762555.0,1165.0,0.125
