y	x	z
-2.154304824	37.2839319	-1292
-2.15446657	37.28302383	-1291
-2.146865019	37.28630431	-1303
-2.147091543	37.28669957	-1302
-2.1474175	37.28705877	-1301
-2.146991835	37.28649294	-1303
-2.146124395	37.28711414	-1304
-2.146441188	37.28736548	-1303
-2.145934024	37.28670086	-1306
-2.146676735	37.28774276	-1301
-2.145156499	37.28686353	-1308
-2.145383032	37.28726778	-1307
-2.145600492	37.28764508	-1305
-2.14430678	37.28716111	-1310
-2.144533353	37.28760132	-1310
-2.14474173	37.28794267	-1308
-2.154711549	37.28374267	-1298
-2.154378512	37.28511836	-1300
-2.150310272	37.28614766	-1288
-2.149043597	37.28558276	-1297
-2.149243023	37.28600502	-1292
-2.149451491	37.28642727	-1293
-2.148591655	37.28577204	-1297
-2.148809156	37.28618529	-1298
-2.149026648	37.28658955	-1297
-2.148537173	37.28557434	-1299
-2.147732833	37.2860157	-1302
-2.147950324	37.28641996	-1302
-2.148167826	37.28683321	-1298
-2.152496417	37.28412269	-1272
-2.152487384	37.28413169	-1272
-2.154323399	37.28436335	-1293
-2.153700045	37.28491238	-1290
-2.153660522	37.28195504	-1304
