IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
11,11,0,0,309475.0,9762425.0,1165.0,0.125,88.27768,90.93659,89.21167,-0.17886734,0.471421
12,12,0,0,309485.0,9762425.0,1165.0,0.125,89.05627,91.323845,89.21167,-0.15360369,0.3781091
39,11,1,0,309475.0,9762435.0,1165.0,0.25,88.70123,91.29451,93.74,-0.1367165,0.36142242
40,12,1,0,309485.0,9762435.0,1165.0,0.375,90.10014,91.53686,89.21167,-0.08340197,0.16058338
41,13,1,0,309495.0,9762435.0,1165.0,0.125,89.98419,91.48072,89.21167,-0.10918159,0.22414535
67,11,2,0,309475.0,9762445.0,1165.0,0.125,86.8901,90.97906,93.74,-0.07453164,0.35359704
68,12,2,0,309485.0,9762445.0,1165.0,0.375,89.80562,91.893776,93.74,-0.0928394,0.2095975
69,13,2,0,309495.0,9762445.0,1165.0,0.375,89.78254,91.71086,93.74,-0.1170178,0.26317495
70,14,2,0,309505.0,9762445.0,1165.0,0.125,88.87898,91.29426,93.74,-0.18489231,0.46065885
96,12,3,0,309485.0,9762455.0,1165.0,0.25,87.910194,90.91676,93.74,-0.08264241,0.38980037
97,13,3,0,309495.0,9762455.0,1165.0,0.5,88.12429,91.01403,93.74,-0.11053872,0.42015994
98,14,3,0,309505.0,9762455.0,1165.0,0.25,87.63909,90.61211,93.74,-0.13914645,0.5143069
124,12,4,0,309485.0,9762465.0,1165.0,0.25,87.36604,90.09648,93.74,-0.10413145,0.5126808
125,13,4,0,309495.0,9762465.0,1165.0,0.5,86.890594,89.85211,93.74,-0.1417834,0.54922444
126,14,4,0,309505.0,9762465.0,1165.0,0.375,86.76002,89.69082,93.74,-0.16115321,0.6006378
127,15,4,0,309515.0,9762465.0,1165.0,0.125,86.4297,89.3173,93.74,-0.183863,0.6629372
152,12,5,0,309485.0,9762475.0,1165.0,0.125,86.4659,88.491135,93.74,-0.12181758,0.59367895
153,13,5,0,309495.0,9762475.0,1165.0,0.375,86.57649,89.10742,93.74,-0.16353321,0.62905496
154,14,5,0,309505.0,9762475.0,1165.0,0.5,85.98546,88.56976,93.74,-0.18039104,0.6666799
155,15,5,0,309515.0,9762475.0,1165.0,0.375,85.86245,88.4108,93.74,-0.19746155,0.70740503
156,16,5,0,309525.0,9762475.0,1165.0,0.125,85.66583,88.14883,93.74,-0.21443503,0.7479004
181,13,6,0,309495.0,9762485.0,1165.0,0.25,85.79922,87.74915,93.74,-0.18129297,0.68378013
182,14,6,0,309505.0,9762485.0,1165.0,0.5,85.93178,87.95945,93.74,-0.19346982,0.7087472
183,15,6,0,309515.0,9762485.0,1165.0,0.5,85.366974,87.4575,93.74,-0.20887849,0.7411636
184,16,6,0,309525.0,9762485.0,1165.0,0.25,85.2939,87.36139,93.74,-0.22261547,0.77113193
209,13,7,0,309495.0,9762495.0,1165.0,0.125,85.21678,86.57609,93.74,-0.19358456,0.7173346
210,14,7,0,309505.0,9762495.0,1165.0,0.375,85.392624,86.85702,93.74,-0.20421112,0.73814076
211,15,7,0,309515.0,9762495.0,1165.0,0.5,85.469864,86.990814,93.74,-0.21597692,0.76192296
212,16,7,0,309525.0,9762495.0,1165.0,0.375,85.47679,87.02127,93.74,-0.22783183,0.7863352
213,17,7,0,309535.0,9762495.0,1165.0,0.125,84.9406,86.56028,93.74,-0.24014328,0.8110148
238,14,8,0,309505.0,9762505.0,1165.0,0.125,84.95851,85.89661,93.74,-0.21102403,0.75456005
239,15,8,0,309515.0,9762505.0,1165.0,0.375,85.09231,86.10945,93.74,-0.22181822,0.77602845
240,16,8,0,309525.0,9762505.0,1165.0,0.5,86.66094,87.00687,93.74,-0.16604255,0.73952526
241,17,8,0,309535.0,9762505.0,1165.0,0.375,86.77535,87.23412,93.74,-0.17243317,0.7533237
242,18,8,0,309545.0,9762505.0,1165.0,0.125,84.05342,87.0211,93.74,-0.18800993,0.7743402
267,15,9,0,309515.0,9762515.0,1165.0,0.25,86.22715,86.194046,64.3782,-0.16030157,0.72728807
268,16,9,0,309525.0,9762515.0,1165.0,0.5,86.45104,86.5693,64.3782,-0.1666755,0.74146855
269,17,9,0,309535.0,9762515.0,1165.0,0.5,86.62626,86.92032,64.3782,-0.1723631,0.7537504
270,18,9,0,309545.0,9762515.0,1165.0,0.25,88.73421,88.782745,64.3782,-0.2215009,0.80316293
295,15,10,0,309515.0,9762525.0,1165.0,0.125,85.99045,85.75642,64.3782,-0.15977912,0.72472817
296,16,10,0,309525.0,9762525.0,1165.0,0.375,86.28035,86.247635,64.3782,-0.16592531,0.7392908
297,17,10,0,309535.0,9762525.0,1165.0,0.5,84.21682,86.55491,64.3782,-0.1798587,0.7584011
298,18,10,0,309545.0,9762525.0,1165.0,0.375,88.63756,88.51825,64.3782,-0.2188028,0.7975515
299,19,10,0,309555.0,9762525.0,1165.0,0.125,88.77666,88.89869,91.015,-0.22218126,0.80405927
